predicted,actual
0.63127209,1
0.761684196,1
0.374242933,0.5
0.621596601,1
0.67849626,1
0.47494914,1
0.979726416,1
0.668169574,0.5
0.488194581,0.5
0.458651093,1
0.218235232,0
0.272097131,0.5
0.988987752,1
0.251123781,0.5
0.723980039,0.5
0.506896649,0
0.338842646,0
0.390617422,0.5
0.625181082,1
0.845923594,0.5
0.415664387,0
0.81459764,1
0.355122373,0.5
0.086185142,0.5
0.749552286,0.5
0.768545728,1
0.685132103,0.5
0.255684647,0
0.984891656,1
0.25848361,0.5
0.900858828,1
0.789070108,1
0.0567744,0
0.615356881,0.5
-0.1930554,0
-0.201032863,1
0.663399399,0.5
0.719911477,0.5
0.594514071,0.5
0.262394447,1
0.431984889,0.5
0.632172193,1
0.371807128,1
0.508286673,0.5
0.609982035,0.5
0.785337992,1
0.783729349,1
0.963274524,1
0.430858052,0
0.126688635,1
0.645050733,0.5
0.970400817,1
0.350250903,0.5
0.682324632,0.5
0.408359036,0
0.501848819,1
0.885773111,1
0.47553304,1
0.217526487,0.5
0.849230006,1
0.563830271,0.5
0.829735577,0.5
0.919316103,0.5
0.668875745,1
0.97927946,1
0.714296014,0.5
0.003510988,0
-0.260660758,0
0.978165833,1
0.764647792,0.5
0.447761962,0
0.253318146,0.5
-0.16348259,0.5
0.670847071,0.5
0.423036444,0
0.692604371,1
0.264914632,1
0.812193192,0.5
0.875667947,1
0.158442033,0
0.61581335,1
0.572662781,0.5
0.27832027,0.5
0.516010892,1
0.440815452,0.5
0.473032544,0.5
0.457721039,0.5
0.803567451,1
0.154547039,0.5
0.289575388,0.5
0.834745028,1
0.853507292,0.5
0.166932419,0.5
0.572324768,1
0.573487487,0.5
0.037489114,0.5
0.339989043,1
0.796302483,0
0.96487643,1
-0.864044944,1
0.511363247,0.5
0.978224051,1
0.595686442,0.5
0.747600762,0.5
0.085356052,0
0.971434806,1
0.970841007,1
0.436103948,0.5
0.327732909,0
1.050898543,1
0.937947818,1
0.253988366,1
0.340468019,0.5
0.572975005,0.5
0.687031433,1
0.486229969,1
-0.846047255,0.5
0.988295405,1
0.373408616,0.5
0.495354098,1
0.987559256,1
0.957674665,1
0.97922709,1
0.947239494,1
0.71811609,0
1.017045798,1
0.552627215,1
0.19551291,0.5
0.724903466,1
1.00430911,1
0.653640601,0.5
0.129867256,0.5
0.560745352,0.5
0.295207519,0
0.68131591,0.5
0.965106474,1
0.605710473,0.5
0.361664705,1
0.745111916,1
0.814477538,0.5
0.846064548,0.5
1.162515641,1
0.375578241,0.5
0.569719404,0.5
0.90674249,0.5
0.644386035,0.5
-0.600795859,0.5
0.814439754,0.5
0.38923048,0
0.811524884,0.5
0.27375745,0
0.834797425,1
0.546796926,0
0.682919149,1
0.39716694,0.5
0.781874816,1
0.725962938,1
1.024439064,1
-0.995404619,0.5
0.389590733,0.5
0.814954708,0.5
0.29173427,0
0.631997904,1
0.809198179,0
1.105066985,1
1.009408904,1
0.645962035,0.5
0.963035152,1
0.612108356,1
0.968376971,1
0.104281063,0
0.900514408,1
0.779180931,0.5
0.426847214,1
0.739318903,0.5
0.465186647,0.5
0.334300118,0.5
0.716439025,0.5
0.715022094,0.5
0.578248251,0.5
0.872987914,0.5
0.676277293,0.5
0.895671693,1
0.177134573,0.5
0.96994035,1
0.571810029,0.5
0.977704904,1
1.001445555,1
0.46508599,0.5
1.066704978,1
0.950332887,1
0.322938298,0
0.530368562,1
0.823592061,1
1.083069641,1
0.704954782,0.5
0.557233727,0.5
0.476230186,0.5
0.878464944,1
0.486940461,0.5
